iter	Passed	Remaining
911	3909	377
912	3911	372
913	3913	368
914	3915	363
915	3921	359
916	3923	355
917	3926	350
918	3928	346
919	3932	341
920	3938	337
921	3943	333
922	3948	329
923	3951	324
924	3954	320
925	3957	316
926	3963	312
927	3968	307
928	3971	303
929	3976	299
930	3978	294
931	3982	290
932	3985	286
933	3987	281
934	3989	277
935	3995	273
936	3997	268
937	4001	264
938	4006	260
939	4011	256
940	4013	251
941	4017	247
942	4020	243
943	4026	238
944	4028	234
945	4034	230
946	4037	225
947	4040	221
948	4045	217
949	4051	213
950	4054	208
951	4056	204
952	4059	200
953	4064	195
954	4069	191
955	4072	187
956	4074	183
957	4079	178
958	4085	174
959	4087	170
960	4089	165
961	4091	161
962	4093	157
963	4095	152
964	4097	148
965	4099	144
966	4105	140
967	4107	135
968	4110	131
969	4115	127
970	4117	122
971	4123	118
972	4125	114
973	4131	110
974	4133	105
975	4135	101
976	4137	97
977	4143	93
978	4148	88
979	4151	84
980	4156	80
981	4158	76
982	4160	71
983	4165	67
984	4167	63
985	4170	59
986	4175	54
987	4177	50
988	4183	46
989	4185	42
990	4190	38
991	4193	33
992	4196	29
993	4202	25
994	4204	21
995	4206	16
996	4211	12
997	4213	8
998	4215	4
999	4218	0
